transactie_id,datum,ministerie,categorie,leverancier,begroot_bedrag,werkelijk_bedrag,betaalstatus,inkoopmethode,factuurnummer,omschrijving
TRX-001695,2026-08-20,Ministerie van Economische Zaken,Reizen,GovTech Nederland,2957.32,2763.98,Betaald,Enkelvoudig onderhands,INV-2026-001695,Dienstreis
TRX-006304,2026-11-06,Ministerie van Economische zaken,Huisvesting,Nationale Services,563.55,678.51,Betaald,Aanbesteding,INV-2026-006304,Onderhoud gebouw
TRX-002034,2026-01-14,Ministerie van Economische Zaken,Huisvesting,SecureIT Nederland,1865.22,2400.78,Betaald,Meervoudig onderhands,INV-2026-002034,Onderhoud gebouw
TRX-007024,2026-11-18,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Nationale Services,751.22,706.24,Openstaand,Raamovereenkomst,INV-2026-007024,Treinkosten
TRX-002660,2026-06-03,Ministerie van Financiën,Inkoop,DataSoft BV,1233.26,1283.16,Betaald,Enkelvoudig onderhands,INV-2026-002660,Materiaalinkoop
TRX-001075,2026-01-22,Ministerie van Infrastructuur en Waterstaat,Reizen,Infra Solutions,14287.22,13486.91,Betaald,Raamovereenkomst,INV-2026-001075,Hotelkosten
TRX-003625,2026-03-23,Ministerie van Financiën,Huisvesting,Nationale Services,3567.08,4155.63,Openstaand,Raamovereenkomst,INV-2026-003625,Facilitaire diensten
TRX-000623,2026-04-02,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Publieke Diensten BV,578.36,528.17,Betaald,Aanbesteding,INV-2026-000623,Applicatiebeheer
TRX-003972,2026-05-12,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,SecureIT Nederland,2086.95,2033.18,Betaald,Aanbesteding,INV-2026-003972,Externe inhuur
TRX-006291,2026-11-29,Ministerie van Financiën,Inkoop,Nationale Services,3139.93,3284.52,Betaald,Aanbesteding,INV-2026-006291,Algemene inkoop
TRX-004978,2026-04-06,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,Insight Partners,1737.45,1959.48,Betaald,Aanbesteding,INV-2026-004978,Organisatieadvies
TRX-003954,2026-05-26,Ministerie van Financiën,Huisvesting,Insight Partners,5337.27,4122.17,Betaald,Aanbesteding,INV-2026-003954,Onderhoud gebouw
TRX-003901,2026-05-10,Ministerie van Economische Zaken,Advies,SecureIT Nederland,1647.61,1579.96,Betaald,Aanbesteding,INV-2026-003901,Procesadvies
TRX-004317,2026-11-17,Ministerie van Financiën,Personeel,Publieke Diensten BV,7018.37,6685.4,Betaald,Meervoudig onderhands,INV-2026-004317,Tijdelijke ondersteuning
TRX-000923,2026-02-25,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,Onderzoek & Advies BV,9273.59,8479.12,Betaald,Enkelvoudig onderhands,INV-2026-000923,Algemene inkoop
TRX-004945,2026-05-11,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,Onderzoek & Advies BV,466.5,375.11,Betaald,Raamovereenkomst,INV-2026-004945,Opleiding en training
TRX-001759,2026-04-20,Ministerie van Financiën,Reizen,SecureIT Nederland,1001.99,1031.85,Betaald,Aanbesteding,INV-2026-001759,Treinkosten
TRX-001358,2026-02-06,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Infra Solutions,4126.26,4100.89,Betaald,Meervoudig onderhands,INV-2026-001358,Applicatiebeheer
TRX-002438,2026-10-27,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,DataSoft BV,7293.22,7596.96,Openstaand,Enkelvoudig onderhands,INV-2026-002438,Opleiding en training
TRX-006622,2026-07-16,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,DataSoft BV,4952.58,5190.11,Betaald,Raamovereenkomst,INV-2026-006622,Externe inhuur
TRX-003627,2026-07-19,Ministerie van Infrastructuur en Waterstaat,Huisvesting,CloudWorks BV,3335.48,2399.26,Betaald,Raamovereenkomst,INV-2026-003627,Onderhoud gebouw
TRX-005300,2026-07-26,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Delta Consulting,721.66,748.45,Betaald,Aanbesteding,INV-2026-005300,Hardware en werkplekken
TRX-002218,2026-08-21,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Insight Partners,5756.84,4547.25,Betaald,Aanbesteding,INV-2026-002218,Hardware en werkplekken
TRX-000596,2026-06-11,Ministerie van Economische Zaken,Huisvesting,Delta Consulting,1387.61,1632.62,Betaald,Raamovereenkomst,INV-2026-000596,Kantoorhuur
TRX-004780,2026-05-12,Ministerie van Financiën,Inkoop,Infra Solutions,7547.14,8557.31,Betaald,Raamovereenkomst,INV-2026-004780,Algemene inkoop
TRX-005404,2026-05-24,Ministerie van Infrastructuur en Waterstaat,Advies,Publieke Diensten BV,1846.28,1605.48,Betaald,Aanbesteding,INV-2026-005404,Strategisch advies
TRX-004648,2026-05-22,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,GovTech Nederland,4532.56,4883.64,Betaald,Aanbesteding,INV-2026-004648,Externe inhuur
TRX-001599,2026-08-08,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,SecureIT Nederland,18328.44,13462.25,Betaald,Raamovereenkomst,INV-2026-001599,Kantoorhuur
TRX-000219,2026-04-12,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Nationale Services,758.49,815.2,Betaald,Meervoudig onderhands,INV-2026-000219,Onderhoud gebouw
TRX-006044,2026-10-12,Ministerie van Financiën,Reizen,Publieke Diensten BV,5661.99,6761.47,Betaald,Raamovereenkomst,INV-2026-006044,Dienstreis
TRX-005968,2026-08-31,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,SecureIT Nederland,3663.26,4516.57,Betaald,Raamovereenkomst,INV-2026-005968,Procesadvies
TRX-006902,2026-11-18,Ministerie van Infrastructuur en Waterstaat,ICT,CloudWorks BV,5871.99,5744.38,Betaald,Enkelvoudig onderhands,INV-2026-006902,Cybersecuritydiensten
TRX-006315,2026-10-09,Ministerie van Economische Zaken,Reizen,Publieke Diensten BV,3221.47,3275.01,Openstaand,Enkelvoudig onderhands,INV-2026-006315,Dienstreis
TRX-006668,2026-03-26,Ministerie van Infrastructuur en Waterstaat,Personeel,Infra Solutions,15747.01,17064.14,Betaald,Meervoudig onderhands,INV-2026-006668,Tijdelijke ondersteuning
TRX-002476,2026-13-01,Ministerie van Economische Zaken,ICT,Infra Solutions,2248.79,1621.46,Betaald,Enkelvoudig onderhands,INV-2026-002476,Softwarelicenties
TRX-003623,2026-10-05,Ministerie van Economische Zaken,ICT,DataSoft BV,5785.17,4463.46,Betaald,Enkelvoudig onderhands,INV-2026-003623,Cloudhosting
TRX-007451,2026-05-06,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Delta Consulting,6668.81,7598.29,Betaald,Meervoudig onderhands,INV-2026-007451,Cloudhosting
TRX-004369,2026-06-22,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,DataSoft BV,2052.53,1981.78,Openstaand,Aanbesteding,INV-2026-004369,Dienstverlening
TRX-001494,2026-10-23,Ministerie van Infrastructuur en Waterstaat,Onderzoek,Nationale Services,2098.58,-2011.93,Betaald,Raamovereenkomst,INV-2026-001494,Dataonderzoek
TRX-003142,2026-09-28,Ministerie van Infrastructuur en Waterstaat,Inkoop,Insight Partners,3487.08,2757.04,Betaald,Raamovereenkomst,INV-2026-003142,Kantoorartikelen
TRX-001688,2026-05-22,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,Publieke Diensten BV,4119.88,4221.17,Betaald,Enkelvoudig onderhands,INV-2026-001688,Procesadvies
TRX-006615,2026-04-08,Ministerie van Financiën,Advies,GovTech Nederland,3688.9,3643.42,Betaald,Aanbesteding,INV-2026-006615,Juridisch advies
TRX-002006,2026-09-03,Ministerie van Financiën,ICT,Insight Partners,5931.33,7643,Betaald,Enkelvoudig onderhands,INV-2026-002006,Applicatiebeheer
TRX-005298,2026-10-05,Ministerie van Economische Zaken,Advies,Delta Consulting,670.94,618.05,Betaald,Aanbesteding,INV-2026-005298,Strategisch advies
TRX-002068,2026-06-12,Ministerie van Infrastructuur en Waterstaat,Inkoop,Infra Solutions,7060.91,7652.09,Betaald,Aanbesteding,INV-2026-002068,Algemene inkoop
TRX-006635,2026-12-03,Ministerie van Sociale Zaken en Werkgelegenheid,Reizen,Delta Consulting,9411.43,10211.13,Betaald,Raamovereenkomst,INV-2026-006635,Treinkosten
TRX-001900,2026-11-13,Ministerie van Infrastructuur en Waterstaat,ICT,Publieke Diensten BV,547.32,509.19,Betaald,Enkelvoudig onderhands,INV-2026-001900,Cybersecuritydiensten
TRX-002263,2026-04-25,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Publieke Diensten BV,7171.35,7452.47,Betaald,Raamovereenkomst,INV-2026-002263,Softwarelicenties
TRX-005389,2026-08-28,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Delta Consulting,8169.61,10217.91,Openstaand,Enkelvoudig onderhands,INV-2026-005389,Opleiding en training
TRX-002329,2026-09-25,Ministerie van Economische Zaken,ICT,Infra Solutions,7362.04,8273.55,Betaald,Enkelvoudig onderhands,INV-2026-002329,Cloudhosting
TRX-003809,2026-11-29,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,GovTech Nederland,9095.84,11748.05,Openstaand,Raamovereenkomst,INV-2026-003809,Hotelkosten
TRX-002254,2026-03-15,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Publieke Diensten BV,1831.75,1936.33,Betaald,Enkelvoudig onderhands,INV-2026-002254,Cybersecuritydiensten
TRX-002223,2026-06-09,Ministerie van Economische Zaken,Personeel,SecureIT Nederland,2176.65,2649.02,Betaald,Meervoudig onderhands,INV-2026-002223,Tijdelijke ondersteuning
TRX-001126,2026-01-19,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Delta Consulting,11728.28,13324.25,Betaald,Aanbesteding,INV-2026-001126,Onderhoud gebouw
TRX-007112,2026-06-13,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Delta Consulting,5935.87,6311.83,Betaald,Aanbesteding,INV-2026-007112,Facilitaire diensten
TRX-004013,2026-10-12,Ministerie van Infrastructuur en Waterstaat,Onderzoek,Onderzoek & Advies BV,3172.23,3401.59,Betaald,Enkelvoudig onderhands,INV-2026-004013,Evaluatieonderzoek
TRX-004554,2026-09-13,Ministerie van Financiën,Advies,SecureIT Nederland,6024.91,5148.23,Betaald,Aanbesteding,INV-2026-004554,Procesadvies
TRX-003574,2026-10-27,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Delta Consulting,3872.56,4059.92,Betaald,Aanbesteding,INV-2026-003574,Cybersecuritydiensten
TRX-006324,2026-03-02,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Infra Solutions,7190.53,7144.12,Betaald,Aanbesteding,INV-2026-006324,Cybersecuritydiensten
TRX-005041,2026-10-26,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,DataSoft BV,897.19,1008.42,Openstaand,Meervoudig onderhands,INV-2026-005041,Tijdelijke ondersteuning
TRX-001649,2026-08-16,Ministerie van Infrastructuur en Waterstaat,Personeel,Publieke Diensten BV,626.15,747.35,Openstaand,Aanbesteding,INV-2026-001649,Opleiding en training
TRX-006283,2026-01-15,Ministerie van Financiën,Huisvesting,Onderzoek & Advies BV,3688.21,3212.02,Betaald,Aanbesteding,INV-2026-006283,Energievoorziening
TRX-000191,2026-07-27,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Onderzoek & Advies BV,5313.73,5738.75,Betaald,Raamovereenkomst,INV-2026-000191,Treinkosten
TRX-006660,2026-06-01,Ministerie van Financiën,Onderzoek,DataSoft BV,937.8,909.62,Betaald,Meervoudig onderhands,INV-2026-006660,Evaluatieonderzoek
TRX-007359,2026-08-15,Ministerie van Financiën,Huisvesting,Publieke Diensten BV,1294.94,1282.71,Betaald,Aanbesteding,INV-2026-007359,Energievoorziening
TRX-003763,2026-01-04,Ministerie van Infrastructuur en Waterstaat,Inkoop,Nationale Services,1691.5,1847.78,Openstaand,Raamovereenkomst,INV-2026-003763,Kantoorartikelen
TRX-002448,2026-09-09,Ministerie van Infrastructuur en Waterstaat,ICT,Insight Partners,3165.58,2584.09,Betaald,Aanbesteding,INV-2026-002448,Applicatiebeheer
TRX-000983,2026-03-14,Ministerie van Economische Zaken,Inkoop,Delta Consulting,5862,7010.5,Betaald,Aanbesteding,INV-2026-000983,Materiaalinkoop
TRX-006258,2026-09-30,Ministerie van Infrastructuur en Waterstaat,Onderzoek,GovTech Nederland,3180.56,3310.36,Openstaand,Raamovereenkomst,INV-2026-006258,Beleidsonderzoek
TRX-002545,2026-02-14,Ministerie van Infrastructuur en Waterstaat,ICT,Insight Partners,3189.89,3054.03,Betaald,Aanbesteding,INV-2026-002545,Cybersecuritydiensten
TRX-002798,2026-09-16,Ministerie van Economische Zaken,Advies,GovTech Nederland,6521.49,6184.82,Betaald,Enkelvoudig onderhands,INV-2026-002798,Strategisch advies
TRX-004986,2026-12-30,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,Insight Partners,9145.3,10225.57,Betaald,Aanbesteding,INV-2026-004986,Tijdelijke ondersteuning
TRX-000728,2026-04-22,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,Nationale Services,1449.37,1460.14,Betaald,Raamovereenkomst,INV-2026-000728,Materiaalinkoop
TRX-004472,2026-09-12,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,SecureIT Nederland,953.14,1243.64,Betaald,Enkelvoudig onderhands,INV-2026-004472,Facilitaire diensten
TRX-002110,2026-09-14,Ministerie van Financiën,Personeel,DataSoft BV,732.79,572.5,Betaald,Raamovereenkomst,INV-2026-002110,Externe inhuur
TRX-002108,2026-10-09,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,Infra Solutions,17703.49,17189.27,Betaald,Aanbesteding,INV-2026-002108,Onderhoud gebouw
TRX-000308,2026-05-21,Ministerie van Economische Zaken,Inkoop,SecureIT Nederland,3002.51,3666.65,Betaald,Meervoudig onderhands,INV-2026-000308,Dienstverlening
TRX-002171,2026-01-15,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,Delta Consulting,243.98,285.74,Betaald,Aanbesteding,INV-2026-002171,Energievoorziening
TRX-003615,2026-03-24,Ministerie van Infrastructuur en Waterstaat,Onderzoek,SecureIT Nederland,2816.1,2580.74,Betaald,Enkelvoudig onderhands,INV-2026-003615,Evaluatieonderzoek
TRX-005661,2026-11-01,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,Insight Partners,3855.18,3542.48,Betaald,Aanbesteding,INV-2026-005661,Evaluatieonderzoek
TRX-003699,2026-09-09,Ministerie van Financiën,Advies,SecureIT Nederland,4864.91,3759.96,Betaald,Raamovereenkomst,INV-2026-003699,Procesadvies
TRX-001642,2026-01-02,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Onderzoek & Advies BV,790.86,762.19,Betaald,Enkelvoudig onderhands,INV-2026-001642,Dienstreis
TRX-003056,2026-12-06,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Nationale Services,12277.11,13176.73,Betaald,Meervoudig onderhands,INV-2026-003056,Kantoorhuur
TRX-006286,2026-03-29,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,Insight Partners,4807.11,6041.09,Betaald,Meervoudig onderhands,INV-2026-006286,Juridisch advies
TRX-004133,2026-05-10,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,CloudWorks BV,3279.53,3580.37,Openstaand,Aanbesteding,INV-2026-004133,Dienstreis
TRX-004075,2026-06-07,Ministerie van Financiën,ICT,Insight Partners,2233.63,2181.89,Openstaand,Enkelvoudig onderhands,INV-2026-004075,Softwarelicenties
TRX-006642,2026-06-21,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Delta Consulting,13720.82,16387.79,Betaald,Aanbesteding,INV-2026-006642,Kantoorartikelen
TRX-000787,2026-03-23,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,GovTech Nederland,2941.35,2713.14,Betaald,Raamovereenkomst,INV-2026-000787,Dienstverlening
TRX-000333,2026-06-19,Ministerie van Infrastructuur en Waterstaat,Advies,Infra Solutions,1821.6,2009.78,Betaald,Meervoudig onderhands,INV-2026-000333,Juridisch advies
TRX-006686,2026-07-07,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,DataSoft BV,1409.76,1473,Betaald,Meervoudig onderhands,INV-2026-006686,Kantoorhuur
TRX-005246,2026-12-11,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,DataSoft BV,3721.6,3444.46,Betaald,Aanbesteding,INV-2026-005246,Juridisch advies
TRX-005054,2026-12-24,NA,Inkoop,Infra Solutions,3843.77,4012.3,Betaald,Meervoudig onderhands,INV-2026-005054,Dienstverlening
TRX-002266,2026-12-07,NA,ICT,Insight Partners,27609.44,21232.59,Betaald,Meervoudig onderhands,INV-2026-002266,Softwarelicenties
TRX-001185,2026-08-21,Ministerie van Sociale Zaken en Werkgelegenheid,Reizen,SecureIT Nederland,8903.04,10520.77,Betaald,Raamovereenkomst,INV-2026-001185,Hotelkosten
TRX-005023,2026-01-29,Ministerie van Financiën,ICT,Publieke Diensten BV,2728.5,2947.18,Betaald,Enkelvoudig onderhands,INV-2026-005023,Cybersecuritydiensten
TRX-005779,2026-02-21,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,SecureIT Nederland,4400.78,5054.12,Betaald,Aanbesteding,INV-2026-005779,Evaluatieonderzoek
TRX-007379,2026-08-24,Ministerie van Infrastructuur en Waterstaat,ICT,Insight Partners,6922.23,6852.23,Betaald,Enkelvoudig onderhands,INV-2026-007379,Hardware en werkplekken
TRX-005237,2026-01-31,Ministerie van Economische Zaken,Inkoop,Delta Consulting,4164.81,3880.27,Betaald,Aanbesteding,INV-2026-005237,Materiaalinkoop
TRX-005219,2026-09-27,Ministerie van Infrastructuur en Waterstaat,ICT,DataSoft BV,8286.09,9932.53,Betaald,Aanbesteding,INV-2026-005219,Cloudhosting
TRX-006045,2026-02-03,Ministerie van Infrastructuur en Waterstaat,Personeel,Delta Consulting,1807.87,1524.76,Openstaand,Enkelvoudig onderhands,INV-2026-006045,Personeelsadvies
TRX-004719,2026-07-08,Ministerie van Financiën,ICT,Onderzoek & Advies BV,2286.37,2434.44,Betaald,Enkelvoudig onderhands,INV-2026-004719,Softwarelicenties
TRX-004940,2026-07-29,Ministerie van Infrastructuur en Waterstaat,ICT,Infra Solutions,1542.84,1628.95,Betaald,Aanbesteding,INV-2026-004940,Hardware en werkplekken
TRX-003385,2026-12-16,Ministerie van Financiën,Inkoop,Nationale Services,13904.62,12036.8,Betaald,Aanbesteding,INV-2026-003385,Algemene inkoop
TRX-004599,2026-03-09,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,GovTech Nederland,4334.4,4294.26,Betaald,Aanbesteding,INV-2026-004599,Energievoorziening
TRX-003262,2026-10-06,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Insight Partners,5383.31,4108.56,Betaald,Raamovereenkomst,INV-2026-003262,Hardware en werkplekken
TRX-000147,2026-01-14,Ministerie van Financiën,Advies,CloudWorks BV,5917.47,6258.68,Betaald,Aanbesteding,INV-2026-000147,Organisatieadvies
TRX-002680,2026-11-14,Ministerie van Financiën,Advies,SecureIT Nederland,8914.89,9684.27,Betaald,Meervoudig onderhands,INV-2026-002680,Juridisch advies
TRX-001049,2026-10-18,Ministerie van Financien ,Personeel,DataSoft BV,5709.66,5722.16,Betaald,Enkelvoudig onderhands,INV-2026-001049,Tijdelijke ondersteuning
TRX-002194,2026-10-04,Ministerie van Economische Zaken,Reizen,Infra Solutions,3935.49,3942.07,Betaald,Meervoudig onderhands,INV-2026-002194,Treinkosten
TRX-003149,2026-09-28,Ministerie van Economische Zaken,Personeel,Nationale Services,3067.02,3091.34,Openstaand,Meervoudig onderhands,INV-2026-003149,Opleiding en training
TRX-006581,2026-03-20,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,SecureIT Nederland,5074.35,4688.65,Betaald,Meervoudig onderhands,INV-2026-006581,Onderhoud gebouw
TRX-000769,2026-05-11,Ministerie van Financiën,Reizen,Infra Solutions,1376.15,1225.8,Openstaand,Meervoudig onderhands,INV-2026-000769,Hotelkosten
